update,train_loss,train_preference_mae,train_cross_entropy
172,-21.29747772216797,0.13012509831030547,2.2774307596332886
173,-18.766904830932617,0.12908100071913978,2.242729675024748
174,-18.988054275512695,0.13005668392117364,2.3679412857574573
175,-22.646989822387695,0.12950221264990228,2.0385871680782124
176,-22.098125457763672,0.13106442798127402,2.2130099541562447
177,-23.9140625,0.13002767288059003,1.9623904285185478
178,-21.943191528320312,0.12891799271551954,2.0580992168363403
179,-22.744125366210938,0.11349818566514633,2.1043328324953716
180,-19.52482795715332,0.12920588027566804,2.306661807000637
181,-21.76146125793457,0.12890094992527595,2.113502323846607
182,-21.350996017456055,0.1302564053395844,2.2217830726329018
183,-22.88353157043457,0.13044403071833824,2.060434250928023
184,-19.62788200378418,0.13234080795734482,2.302355293184519
185,-21.348312377929688,0.13040360081850355,2.234605275971048
186,-23.834217071533203,0.1305516028390963,1.9703405523563133
187,-22.177112579345703,0.13051249384581765,2.194419025279143
188,-24.788545608520508,0.13007886940340313,1.9978824823218233
189,-22.826406478881836,0.1303667577205935,1.91552022055668
190,-21.457983016967773,0.1291041034725947,2.220792075509534
191,-19.88841438293457,0.09677027190535394,2.511420937684866
192,-21.478384017944336,0.1302496329434072,2.2575779101427864
193,-24.45867919921875,0.12927030671432393,1.8220952648450346
194,-21.96478271484375,0.1300738833783911,2.1127412608441185
195,-22.550792694091797,0.1299948632697973,2.181507830891539
196,-22.190168380737305,0.130987132365336,2.0449235480936134
197,-24.41370964050293,0.1298304424937211,1.9661398466457338
198,-22.016605377197266,0.129505482229914,2.113164457328179
199,-24.24464988708496,0.12981616188639228,1.952333310728564
200,-22.653898239135742,0.1298069014341916,2.0872002943035435
201,-23.02443504333496,0.12939630734850088,2.14829537491588
202,-22.25293731689453,0.12923644156194905,2.0469127268913914
203,-24.357500076293945,0.1299748699730027,1.9512620938613134
204,-23.008935928344727,0.1302189953284809,1.913778720971416
205,-24.99700164794922,0.13007080660803266,1.8030554483480312
206,-24.530223846435547,0.1301530051709739,1.936693545869168
207,-21.275148391723633,0.13058598531599924,2.278462807264398
208,-13.550406455993652,0.09433648732486476,2.7990968387860518
209,-21.57591438293457,0.13093846271134804,2.265069836860194
210,-25.066333770751953,0.13007836904653522,1.919144589892205
211,-24.353960037231445,0.13259219582290258,1.9516656898400362
212,-20.040727615356445,0.13051953499315225,2.2861364832257522
213,-25.102916717529297,0.12932618162730425,1.9860841038034243
214,-18.861988067626953,0.12924214425997355,2.2529975877088657
215,-21.660507202148438,0.13042631306130648,2.2611221208730163
216,-17.113204956054688,0.09769406760354724,2.838126795223126
217,-20.264225006103516,0.129211271818464,2.1990443314699566
218,-19.5439453125,0.09517189472203036,2.502345785212058
219,-19.542322158813477,0.12949387985162475,2.3439534766709103
220,-22.933216094970703,0.1295973867958148,2.0792362159665894
221,-24.63551902770996,0.1300273828115878,1.9706066895057173
222,-20.463790893554688,0.09513633032238282,2.4272601102980285
223,-21.819059371948242,0.12982621651110104,2.2480048844042946
224,-19.09874725341797,0.12779590228837176,2.265831011840526
225,-20.172075271606445,0.12985662206137483,2.284273874891155
226,-22.664737701416016,0.12917073372171356,2.0429108519764507
227,-25.38603401184082,0.12947679315459193,2.0123472064733505
228,-20.370187759399414,0.09704554720171198,2.502595476519603
229,-24.431150436401367,0.12938512768863805,1.9386191503966557
230,-24.490068435668945,0.1300657531592651,1.9625810327775337
231,-23.085132598876953,0.1299166314494716,2.0789213921217358
232,-22.34172821044922,0.12901765321570416,2.1949349492788315
233,-19.34054183959961,0.13027371940903656,2.3567580197225597
234,-25.335580825805664,0.1296413306189182,1.9049102341865791
235,-25.339548110961914,0.1303308989900937,1.905254050870152
236,-24.636409759521484,0.12973056638938985,1.9464057460427284
237,-23.2034912109375,0.12961910551164504,2.0361585073611317
238,-19.59711265563965,0.12957842404243747,2.3527145429569134
239,-21.641727447509766,0.13016399708823345,2.2691408895394383
240,-22.442394256591797,0.12886182983538455,2.1969950920080437
241,-21.568607330322266,0.12935913079309014,2.124946622287526
242,-23.17598533630371,0.13011302391606008,2.040243536453037
243,-23.40231704711914,0.12920204917613198,1.9055101531831657
244,-23.308927536010742,0.12800776954875892,2.1035137246636784
245,-24.77753257751465,0.13038271526412643,1.9701026849010412
246,-20.177021026611328,0.09538623798328645,2.4597696613233824
247,-25.4851016998291,0.12991049505723104,1.9012240416863386
248,-23.433469772338867,0.13042404519362885,2.0837974348927246
249,-21.635372161865234,0.12951061015411577,2.123766157118713
250,-23.336275100708008,0.1287562512907932,2.1029053407118603
251,-17.37128257751465,0.12773824069101103,2.3090362494044445
252,-26.047563552856445,0.12934711025973838,1.7663063970120514
253,-25.02704429626465,0.12962589606401279,1.9621641302809996
254,-17.42328453063965,0.09694023279483949,2.8399752977375803
255,-20.784513473510742,0.1278338039107961,2.16108881704071
256,-24.035762786865234,0.12902900837253808,2.029245506533805
257,-25.187471389770508,0.12901680959669617,1.9075763177345781
258,-23.117107391357422,0.13102102991706854,2.1806254750665497
259,-23.539506912231445,0.12988036407150058,2.079607734566226
260,-25.22934913635254,0.12952480304917482,1.9083037768654965
